familyname,birth_lng,birth_lat,work__lng,work_lat,count
лю,80.43993178,40.06078789,121.480504,30.92372,1
лю,87.07361805,44.17508345,120.86342,32.015923,1
лю,87.54563105,43.80788574,114.353622,30.56486,1
лю,87.5492188,43.89832429,87.62444,43.830763,1
лю,87.63290251,43.78386023,87.638408,43.800271,1
лю,87.63290251,43.78386023,117.01441,39.148727,1
лю,87.63290251,43.78386023,121.550455,31.227348,1
лю,87.66801377,43.84390723,87.60467,43.807262,1
лю,88.30594927,44.42410369,112.572396,37.742323,1
лю,101.6697021,26.56790742,101.772414,36.634497,1
лю,101.7126636,36.68636785,101.772405,36.656294,1
лю,101.7126636,36.68636785,119.919519,28.451745,1
лю,101.7276034,36.63163569,101.772414,36.634497,1
лю,101.7276034,36.63163569,121.550455,31.227348,1
лю,101.7494417,26.58204354,101.725541,26.588033,4
лю,101.7494417,26.58204354,104.067445,30.680038,1
лю,101.7494417,26.58204354,118.776519,32.072405,1
лю,102.0007263,26.93274936,104.067445,30.680038,1
лю,102.0343163,38.43340967,102.200586,38.525772,1
лю,102.3286799,38.49217167,101.809569,36.605708,1
лю,102.4998946,24.36985399,102.758526,25.122372,1
лю,102.6493773,25.26130596,102.671557,25.043199,2
лю,102.7675563,25.27401948,102.750482,25.021196,1
лю,102.7675563,25.27401948,102.758526,25.122372,1
лю,102.7675563,25.27401948,102.852448,24.873998,1
лю,103.1491547,23.30569244,102.551565,24.359801,1
лю,103.2527935,36.61692361,121.550455,31.227348,1
лю,103.7719945,35.99249535,103.792414,36.072129,3
лю,103.8515712,36.05400813,103.725535,36.109754,1
лю,103.8515712,36.05400813,103.792414,36.072129,2
лю,103.8515712,36.05400813,103.831475,36.063181,2
лю,103.8515712,36.05400813,121.457769,31.288044,1
лю,103.9884287,30.68510195,104.057404,30.697356,1
лю,103.9884287,30.68510195,104.067445,30.680038,1
лю,103.9884287,30.68510195,107.339566,30.333294,1
лю,104.0412402,30.61288179,104.049424,30.648713,1
лю,104.0412402,30.61288179,116.701601,28.707866,1
лю,104.1242694,30.60630182,104.089562,30.661904,2
лю,104.150032,30.69504011,104.108592,30.665589,1
лю,104.2056493,36.50182183,104.155413,36.541464,3
лю,104.7078544,29.28261397,104.057404,30.697356,1
лю,104.7078544,29.28261397,104.783447,29.343499,1
лю,104.945609,36.69035049,104.831614,36.733499,1
лю,104.9539788,29.55164493,104.072053,30.599057,1
лю,105.1938342,31.653621,115.471464,38.879988,1
лю,105.2021688,29.62808855,105.082547,29.598486,1
лю,105.2021688,29.62808855,121.430454,31.226848,1
лю,105.3717126,28.87690068,103.863573,30.688487,1
лю,105.3717126,28.87690068,106.517559,29.507928,1
лю,105.5082673,29.12491997,104.057404,30.697356,1
лю,105.7308246,34.58925276,108.95144,34.220635,1
лю,105.7372022,27.25305963,106.730535,26.610381,1
лю,106.0392429,29.81832283,106.039243,29.818323,1
лю,106.3705949,29.43456615,106.517559,29.507928,1
лю,106.3748049,29.63054814,106.464465,29.547193,2
лю,106.4018229,32.37213964,104.057404,30.697356,1
лю,106.5469668,29.55523619,106.57544,29.55909,1
лю,106.7136147,29.61931774,106.580415,29.612832,1
лю,106.717914,26.60352465,106.720528,26.574336,1
лю,106.717914,26.60352465,106.730535,26.610381,1
лю,106.7241735,26.54141327,106.720528,26.574336,2
лю,106.7241735,26.54141327,106.730535,26.610381,1
лю,106.7334497,26.68832631,111.558567,24.417531,1
лю,106.7582742,29.37802797,106.547454,29.408475,1
лю,107.1082444,34.31102704,107.153424,34.382351,1
лю,107.1082444,34.31102704,107.156419,34.377481,3
лю,107.1082444,34.31102704,107.244575,34.368916,1
лю,107.1772265,35.78795389,119.419419,32.400677,1
лю,107.7254282,30.66436344,107.725428,30.664363,1
